datetime,price
01-04-2025 00:00:00,10899
02-04-2025 00:00:00,10899
03-04-2025 13:05:46,11199
04-04-2025 00:00:00,11199
05-04-2025 00:00:00,11199
06-04-2025 00:00:00,11199
07-04-2025 00:00:00,11199
08-04-2025 00:00:00,11199
09-04-2025 00:00:00,11199
10-04-2025 00:00:00,11199
11-04-2025 00:00:00,11199
12-04-2025 00:00:00,11199
13-04-2025 00:00:00,11199
14-04-2025 00:00:00,11199
15-04-2025 00:00:00,11199
16-04-2025 00:00:00,11199
17-04-2025 00:00:00,11199
18-04-2025 00:00:00,11199
19-04-2025 00:00:00,11199
20-04-2025 00:00:00,11199
21-04-2025 00:00:00,11199
22-04-2025 00:00:00,11199
23-04-2025 00:00:00,11199
24-04-2025 00:00:00,11199
25-04-2025 00:00:00,11199
26-04-2025 00:00:00,11199
27-04-2025 00:00:00,11199
28-04-2025 00:00:00,11199
29-04-2025 00:00:00,11199
30-04-2025 00:00:00,11199
30-04-2025 21:38:46,11899
01-05-2025 10:24:13,10799
01-06-2025 12:02:49,11299
02-06-2025 00:00:00,11299
03-06-2025 00:00:00,11299
07-06-2025 00:00:00,11299
08-06-2025 10:24:46,10699
09-06-2025 00:00:00,10699
10-06-2025 00:00:00,10699
11-06-2025 00:00:00,10699
17-06-2025 09:52:09,11299
